Date,Price
02-Dec-21,4577.100 
01-Dec-21,4513.040 
30-Nov-21,4567.000 
29-Nov-21,4655.270 
26-Nov-21,4594.620 
24-Nov-21,4701.460 
23-Nov-21,4690.700 
22-Nov-21,4682.950 
19-Nov-21,4697.960 
18-Nov-21,4706.640 
17-Nov-21,4688.670 
16-Nov-21,4700.900 
15-Nov-21,4682.810 
12-Nov-21,4682.850 
11-Nov-21,4649.270 
10-Nov-21,4646.710 
09-Nov-21,4685.250 
08-Nov-21,4701.700 
05-Nov-21,4697.530 
04-Nov-21,4680.060 
03-Nov-21,4660.570 
02-Nov-21,4630.650 
01-Nov-21,4613.670 
29-Oct-21,4605.380 
28-Oct-21,4596.420 
27-Oct-21,4551.680 
26-Oct-21,4574.790 
25-Oct-21,4566.480 
22-Oct-21,4544.900 
21-Oct-21,4549.780 
20-Oct-21,4536.190 
19-Oct-21,4519.630 
18-Oct-21,4486.480 
15-Oct-21,4471.370 
14-Oct-21,4438.230 
13-Oct-21,4363.800 
12-Oct-21,4350.640 
11-Oct-21,4361.190 
08-Oct-21,4391.360 
07-Oct-21,4399.760 
06-Oct-21,4363.550 
05-Oct-21,4345.720 
04-Oct-21,4300.460 
01-Oct-21,4357.050 
30-Sep-21,4307.540 
29-Sep-21,4359.460 
28-Sep-21,4352.630 
27-Sep-21,4443.110 
24-Sep-21,4455.480 
23-Sep-21,4448.980 
22-Sep-21,4395.640 
21-Sep-21,4354.180 
20-Sep-21,4357.730 
17-Sep-21,4432.990 
16-Sep-21,4473.760 
15-Sep-21,4480.700 
14-Sep-21,4443.050 
13-Sep-21,4468.730 
10-Sep-21,4458.580 
09-Sep-21,4493.280 
08-Sep-21,4514.070 
07-Sep-21,4520.030 
03-Sep-21,4535.430 
02-Sep-21,4536.950 
01-Sep-21,4524.090 
31-Aug-21,4522.680 
30-Aug-21,4528.790 
27-Aug-21,4509.370 
26-Aug-21,4469.910 
25-Aug-21,4496.190 
24-Aug-21,4486.230 
23-Aug-21,4479.540 
20-Aug-21,4441.670 
19-Aug-21,4405.800 
18-Aug-21,4400.270 
17-Aug-21,4448.080 
16-Aug-21,4479.660 
13-Aug-21,4468.000 
12-Aug-21,4460.840 
11-Aug-21,4447.700 
10-Aug-21,4436.750 
09-Aug-21,4432.350 
06-Aug-21,4436.520 
05-Aug-21,4429.100 
04-Aug-21,4402.680 
03-Aug-21,4423.150 
02-Aug-21,4387.110 
30-Jul-21,4395.260 
29-Jul-21,4419.150 
28-Jul-21,4400.650 
27-Jul-21,4401.460 
26-Jul-21,4422.230 
23-Jul-21,4411.800 
22-Jul-21,4367.480 
21-Jul-21,4358.690 
20-Jul-21,4323.210 
19-Jul-21,4258.630 
16-Jul-21,4327.160 
15-Jul-21,4360.030 
14-Jul-21,4374.300 
13-Jul-21,4369.210 
12-Jul-21,4384.630 
09-Jul-21,4369.550 
08-Jul-21,4320.820 
07-Jul-21,4358.130 
06-Jul-21,4343.540 
02-Jul-21,4352.340 
01-Jul-21,4319.940 
30-Jun-21,4297.500 
29-Jun-21,4291.800 
28-Jun-21,4290.610 
25-Jun-21,4280.700 
24-Jun-21,4266.490 
23-Jun-21,4241.840 
22-Jun-21,4246.440 
21-Jun-21,4224.790 
18-Jun-21,4166.450 
17-Jun-21,4221.860 
16-Jun-21,4223.700 
15-Jun-21,4246.590 
14-Jun-21,4255.150 
11-Jun-21,4247.440 
10-Jun-21,4239.180 
09-Jun-21,4219.550 
08-Jun-21,4227.260 
07-Jun-21,4226.520 
04-Jun-21,4229.890 
03-Jun-21,4192.850 
02-Jun-21,4208.120 
01-Jun-21,4202.040 
28-May-21,4204.110 
27-May-21,4200.880 
26-May-21,4195.990 
25-May-21,4188.130 
24-May-21,4197.050 
21-May-21,4155.860 
20-May-21,4159.120 
19-May-21,4115.680 
18-May-21,4127.830 
17-May-21,4163.290 
14-May-21,4173.850 
13-May-21,4112.500 
12-May-21,4063.040 
11-May-21,4152.100 
10-May-21,4188.430 
07-May-21,4232.600 
06-May-21,4201.620 
05-May-21,4167.590 
04-May-21,4164.660 
03-May-21,4192.660 
30-Apr-21,4181.170 
29-Apr-21,4211.470 
28-Apr-21,4183.180 
27-Apr-21,4186.720 
26-Apr-21,4187.620 
23-Apr-21,4180.170 
22-Apr-21,4134.980 
21-Apr-21,4173.420 
20-Apr-21,4134.940 
19-Apr-21,4163.260 
16-Apr-21,4185.470 
15-Apr-21,4170.420 
14-Apr-21,4124.660 
13-Apr-21,4141.590 
12-Apr-21,4127.990 
09-Apr-21,4128.800 
08-Apr-21,4097.170 
07-Apr-21,4079.950 
06-Apr-21,4073.940 
05-Apr-21,4077.910 
01-Apr-21,4019.870 
31-Mar-21,3972.890 
30-Mar-21,3958.550 
29-Mar-21,3971.090 
26-Mar-21,3974.540 
25-Mar-21,3909.520 
24-Mar-21,3889.140 
23-Mar-21,3910.520 
22-Mar-21,3940.590 
19-Mar-21,3913.100 
18-Mar-21,3915.460 
17-Mar-21,3974.120 
16-Mar-21,3962.710 
15-Mar-21,3968.940 
